,Location,Village
187,DUVVURU,GUDIPADU
188,DUVVURU,GUDIPADU
189,DUVVURU,GUDIPADU
190,DUVVURU,GUDIPADU
191,DUVVURU,GUDIPADU
192,DUVVURU,GUDIPADU
193,DUVVURU,GUDIPADU
194,DUVVURU,GUDIPADU
195,DUVVURU,GUDIPADU
196,DUVVURU,GUDIPADU
197,DUVVURU,GUDIPADU
198,DUVVURU,GUDIPADU
199,DUVVURU,GUDIPADU
200,DUVVURU,GUDIPADU
201,DUVVURU,GUDIPADU
202,DUVVURU,GUDIPADU
203,DUVVURU,GUDIPADU
204,DUVVURU,GUDIPADU
205,DUVVURU,GUDIPADU
206,DUVVURU,GUDIPADU
207,DUVVURU,GUDIPADU
208,DUVVURU,GUDIPADU
209,DUVVURU,GUDIPADU
210,DUVVURU,GUDIPADU
211,DUVVURU,GUDIPADU
212,DUVVURU,GUDIPADU
213,DUVVURU,GUDIPADU
214,DUVVURU,GUDIPADU
215,DUVVURU,GUDIPADU
216,DUVVURU,GUDIPADU
217,DUVVURU,GUDIPADU
218,DUVVURU,GUDIPADU
219,DUVVURU,GUDIPADU
220,DUVVURU,GUDIPADU
221,DUVVURU,GUDIPADU
222,DUVVURU,GUDIPADU
223,DUVVURU,GUDIPADU
224,DUVVURU,GUDIPADU
225,DUVVURU,GUDIPADU
226,DUVVURU,GUDIPADU
227,DUVVURU,GUDIPADU
228,DUVVURU,GUDIPADU
229,DUVVURU,GUDIPADU
230,DUVVURU,GUDIPADU
231,DUVVURU,GUDIPADU
232,DUVVURU,GUDIPADU
233,DUVVURU,GUDIPADU
234,DUVVURU,GUDIPADU
235,DUVVURU,GUDIPADU
236,DUVVURU,GUDIPADU
237,DUVVURU,GUDIPADU
238,DUVVURU,GUDIPADU
239,DUVVURU,GUDIPADU
240,DUVVURU,GUDIPADU
241,DUVVURU,GUDIPADU
242,DUVVURU,GUDIPADU
243,DUVVURU,GUDIPADU
244,DUVVURU,GUDIPADU
245,DUVVURU,GUDIPADU
246,DUVVURU,GUDIPADU
247,DUVVURU,GUDIPADU
248,DUVVURU,GUDIPADU
249,DUVVURU,GUDIPADU
250,DUVVURU,GUDIPADU
251,DUVVURU,GUDIPADU
252,DUVVURU,GUDIPADU
253,DUVVURU,GUDIPADU
254,DUVVURU,GUDIPADU
255,DUVVURU,GUDIPADU
256,DUVVURU,GUDIPADU
257,DUVVURU,GUDIPADU
258,DUVVURU,GUDIPADU
259,DUVVURU,GUDIPADU
260,DUVVURU,GUDIPADU
261,DUVVURU,GUDIPADU
262,DUVVURU,GUDIPADU
263,DUVVURU,GUDIPADU
264,DUVVURU,GUDIPADU
265,DUVVURU,GUDIPADU
266,DUVVURU,GUDIPADU
267,DUVVURU,GUDIPADU
268,DUVVURU,GUDIPADU
269,DUVVURU,GUDIPADU
270,DUVVURU,GUDIPADU
271,DUVVURU,GUDIPADU
272,DUVVURU,GUDIPADU
273,DUVVURU,GUDIPADU
274,DUVVURU,GUDIPADU
275,DUVVURU,GUDIPADU
276,DUVVURU,GUDIPADU
277,DUVVURU,GUDIPADU
278,DUVVURU,GUDIPADU
279,DUVVURU,GUDIPADU
280,DUVVURU,GUDIPADU
281,DUVVURU,GUDIPADU
282,DUVVURU,GUDIPADU
283,DUVVURU,GUDIPADU
284,DUVVURU,GUDIPADU
285,DUVVURU,GUDIPADU
286,DUVVURU,GUDIPADU
287,DUVVURU,GUDIPADU
288,DUVVURU,GUDIPADU
289,DUVVURU,GUDIPADU
290,DUVVURU,GUDIPADU
291,DUVVURU,GUDIPADU
292,DUVVURU,GUDIPADU
293,DUVVURU,GUDIPADU
294,DUVVURU,GUDIPADU
295,DUVVURU,GUDIPADU
296,DUVVURU,GUDIPADU
297,DUVVURU,GUDIPADU
298,DUVVURU,GUDIPADU
299,DUVVURU,GUDIPADU
300,DUVVURU,GUDIPADU
301,DUVVURU,GUDIPADU
302,DUVVURU,GUDIPADU
303,DUVVURU,GUDIPADU
304,DUVVURU,GUDIPADU
305,DUVVURU,GUDIPADU
306,DUVVURU,GUDIPADU
307,DUVVURU,GUDIPADU
308,DUVVURU,GUDIPADU
309,DUVVURU,GUDIPADU
310,DUVVURU,GUDIPADU
311,DUVVURU,GUDIPADU
312,DUVVURU,GUDIPADU
313,DUVVURU,GUDIPADU
314,DUVVURU,GUDIPADU
315,DUVVURU,GUDIPADU
316,DUVVURU,GUDIPADU
317,DUVVURU,GUDIPADU
318,DUVVURU,GUDIPADU
319,DUVVURU,GUDIPADU
320,DUVVURU,GUDIPADU
321,DUVVURU,GUDIPADU
322,DUVVURU,MADIREPALLI
323,DUVVURU,MADIREPALLI
324,DUVVURU,MADIREPALLI
325,DUVVURU,MADIREPALLI
326,DUVVURU,MADIREPALLI
327,DUVVURU,MADIREPALLI
328,DUVVURU,MADIREPALLI
329,DUVVURU,MADIREPALLI
330,DUVVURU,MADIREPALLI
331,DUVVURU,MADIREPALLI
332,DUVVURU,MADIREPALLI
333,DUVVURU,MADIREPALLI
334,DUVVURU,MADIREPALLI
335,DUVVURU,MADIREPALLI
336,DUVVURU,MADIREPALLI
337,DUVVURU,MADIREPALLI
338,DUVVURU,MADIREPALLI
339,DUVVURU,MADIREPALLI
340,DUVVURU,MADIREPALLI
341,DUVVURU,MADIREPALLI
342,DUVVURU,MADIREPALLI
343,DUVVURU,MADIREPALLI
344,DUVVURU,MADIREPALLI
345,DUVVURU,MADIREPALLI
346,DUVVURU,MADIREPALLI
347,DUVVURU,MADIREPALLI
348,DUVVURU,MADIREPALLI
349,DUVVURU,MADIREPALLI
350,DUVVURU,MADIREPALLI
351,DUVVURU,MADIREPALLI
352,DUVVURU,MADIREPALLI
353,DUVVURU,MADIREPALLI
354,DUVVURU,MADIREPALLI
355,DUVVURU,MADIREPALLI
356,DUVVURU,MADIREPALLI
357,DUVVURU,MADIREPALLI
358,DUVVURU,MADIREPALLI
359,DUVVURU,MADIREPALLI
360,DUVVURU,MADIREPALLI
361,DUVVURU,MADIREPALLI
362,DUVVURU,MADIREPALLI
363,DUVVURU,MADIREPALLI
364,DUVVURU,MADIREPALLI
365,DUVVURU,MADIREPALLI
366,DUVVURU,MADIREPALLI
367,DUVVURU,MADIREPALLI
368,DUVVURU,MADIREPALLI
369,DUVVURU,MADIREPALLI
370,DUVVURU,MADIREPALLI
371,DUVVURU,MADIREPALLI
372,DUVVURU,MADIREPALLI
373,DUVVURU,MADIREPALLI
374,DUVVURU,MADIREPALLI
375,DUVVURU,MADIREPALLI
376,DUVVURU,MADIREPALLI
377,DUVVURU,MADIREPALLI
378,DUVVURU,MADIREPALLI
379,DUVVURU,MADIREPALLI
380,DUVVURU,MADIREPALLI
381,DUVVURU,MADIREPALLI
382,DUVVURU,MADIREPALLI
383,DUVVURU,MADIREPALLI
384,DUVVURU,MADIREPALLI
385,DUVVURU,MADIREPALLI
386,DUVVURU,MADIREPALLI
387,DUVVURU,MADIREPALLI
388,DUVVURU,MADIREPALLI
389,DUVVURU,MADIREPALLI
390,DUVVURU,MADIREPALLI
391,DUVVURU,MADIREPALLI
392,DUVVURU,MADIREPALLI
393,DUVVURU,MADIREPALLI
394,DUVVURU,MADIREPALLI
395,DUVVURU,MADIREPALLI
396,DUVVURU,MADIREPALLI
397,DUVVURU,MADIREPALLI
398,DUVVURU,MADIREPALLI
399,DUVVURU,MADIREPALLI
400,DUVVURU,MADIREPALLI
401,DUVVURU,MADIREPALLI
402,DUVVURU,MADIREPALLI
403,DUVVURU,MADIREPALLI
404,DUVVURU,MADIREPALLI
405,DUVVURU,UYYALAWADA(DUVUURU)
406,DUVVURU,UYYALAWADA(DUVUURU)
407,DUVVURU,UYYALAWADA(DUVUURU)
408,DUVVURU,UYYALAWADA(DUVUURU)
409,DUVVURU,UYYALAWADA(DUVUURU)
410,DUVVURU,UYYALAWADA(DUVUURU)
411,DUVVURU,UYYALAWADA(DUVUURU)
412,DUVVURU,UYYALAWADA(DUVUURU)
413,DUVVURU,UYYALAWADA(DUVUURU)
414,DUVVURU,UYYALAWADA(DUVUURU)
415,DUVVURU,UYYALAWADA(DUVUURU)
416,DUVVURU,UYYALAWADA(DUVUURU)
417,DUVVURU,UYYALAWADA(DUVUURU)
418,DUVVURU,UYYALAWADA(DUVUURU)
419,DUVVURU,UYYALAWADA(DUVUURU)
420,DUVVURU,UYYALAWADA(DUVUURU)
421,DUVVURU,UYYALAWADA(DUVUURU)
422,DUVVURU,UYYALAWADA(DUVUURU)
423,DUVVURU,UYYALAWADA(DUVUURU)
424,DUVVURU,UYYALAWADA(DUVUURU)
425,DUVVURU,UYYALAWADA(DUVUURU)
426,DUVVURU,UYYALAWADA(DUVUURU)
427,DUVVURU,UYYALAWADA(DUVUURU)
428,DUVVURU,UYYALAWADA(DUVUURU)
429,DUVVURU,UYYALAWADA(DUVUURU)
430,DUVVURU,UYYALAWADA(DUVUURU)
431,DUVVURU,UYYALAWADA(DUVUURU)
432,DUVVURU,UYYALAWADA(DUVUURU)
433,DUVVURU,PEDDASINGANAPALLI
434,DUVVURU,PEDDASINGANAPALLI
435,DUVVURU,PEDDASINGANAPALLI
436,DUVVURU,PEDDASINGANAPALLI
437,DUVVURU,PEDDASINGANAPALLI
438,DUVVURU,PEDDASINGANAPALLI
439,DUVVURU,PEDDASINGANAPALLI
440,DUVVURU,PEDDASINGANAPALLI
441,DUVVURU,PEDDASINGANAPALLI
442,DUVVURU,PEDDASINGANAPALLI
443,DUVVURU,PEDDASINGANAPALLI
444,DUVVURU,PEDDASINGANAPALLI
445,DUVVURU,PEDDASINGANAPALLI
446,DUVVURU,PEDDASINGANAPALLI
447,DUVVURU,PEDDASINGANAPALLI
448,DUVVURU,PEDDASINGANAPALLI
449,DUVVURU,PEDDASINGANAPALLI
450,DUVVURU,PEDDASINGANAPALLI
451,DUVVURU,PEDDASINGANAPALLI
452,DUVVURU,PEDDASINGANAPALLI
453,DUVVURU,PEDDASINGANAPALLI
454,DUVVURU,PEDDASINGANAPALLI
455,DUVVURU,PEDDASINGANAPALLI
456,DUVVURU,JANGALAPALLI
457,DUVVURU,JANGALAPALLI
458,DUVVURU,JANGALAPALLI
459,DUVVURU,JANGALAPALLI
460,DUVVURU,JANGALAPALLI
461,DUVVURU,KRISHNAPURAM
462,DUVVURU,KRISHNAPURAM
463,DUVVURU,KRISHNAPURAM
464,DUVVURU,KRISHNAPURAM
465,DUVVURU,KRISHNAPURAM
466,DUVVURU,KRISHNAPURAM
467,DUVVURU,KRISHNAPURAM
468,DUVVURU,KRISHNAPURAM
469,DUVVURU,KRISHNAPURAM
470,DUVVURU,KRISHNAPURAM
471,DUVVURU,KRISHNAPURAM
472,DUVVURU,KRISHNAPURAM
473,DUVVURU,KRISHNAPURAM
474,DUVVURU,KRISHNAPURAM
475,DUVVURU,KRISHNAPURAM
476,DUVVURU,KRISHNAPURAM
477,DUVVURU,KRISHNAPURAM
478,DUVVURU,KRISHNAPURAM
479,DUVVURU,KRISHNAPURAM
480,DUVVURU,KRISHNAPURAM
481,DUVVURU,KRISHNAPURAM
482,DUVVURU,KRISHNAPURAM
483,DUVVURU,KRISHNAPURAM
484,DUVVURU,KRISHNAPURAM
485,DUVVURU,KRISHNAPURAM
486,DUVVURU,KRISHNAPURAM
487,DUVVURU,KRISHNAPURAM
488,DUVVURU,KRISHNAPURAM
489,DUVVURU,KRISHNAPURAM
490,DUVVURU,KRISHNAPURAM
491,DUVVURU,KRISHNAPURAM
492,DUVVURU,KRISHNAPURAM
493,DUVVURU,KRISHNAPURAM
494,DUVVURU,KRISHNAPURAM
495,DUVVURU,KRISHNAPURAM
