YEAR,1,2,3,4,5,6,7,8,9,10,11,12,Location
2016,4.3,0.0,0.3,0.5,71.1,151.0,131.0,72.1,163.2,9.0,2.2,1.6,KURNOOL
2017,3.52,4.83,15.39,17.84,28.13,169.44,293.26,209.7,194.6,78.28,31.37,5.32,KURNOOL
2012,1.5,1.5,0.3,39.2,26.3,41.0,117.8,90.0,38.1,76.3,78.7,47.5,PORUMAMILLA
2013,0.0,26.5,5.2,7.8,32.0,82.7,90.0,98.0,134.1,190.1,21.7,1.1,PORUMAMILLA
2014,0.0,0.0,7.7,6.5,22.2,45.5,49.5,89.4,82.6,96.9,26.7,5.6,PORUMAMILLA
2015,3.6,0.0,8.2,74.6,23.6,76.2,38.0,144.2,129.5,90.8,389.6,34.2,PORUMAMILLA
2016,14.7,0.0,0.1,0.1,47.7,133.9,137.4,61.0,110.2,12.4,6.5,66.7,PORUMAMILLA
2017,3.56,4.91,14.26,18.65,28.36,160.1,272.6,198.4,185.04,79.8,38.85,7.94,PORUMAMILLA
2012,25.8,4.0,4.2,78.0,40.9,35.3,34.2,66.1,23.9,199.3,80.6,19.8,CUMBAM
2013,0.2,44.4,63.5,43.0,69.8,94.9,90.1,121.9,64.6,149.8,79.2,28.9,CUMBAM
2014,2.0,8.5,39.0,26.6,161.3,29.0,73.2,137.5,63.0,272.9,79.8,46.0,CUMBAM
2015,4.14,5.54,15.13,20.5,32.74,152.34,259.36,193.03,175.85,87.66,43.11,9.24,CUMBAM
2016,1.6,1.4,11.8,11.3,67.4,44.8,65.2,15.8,6.1,103.8,21.6,14.9,CUMBAM
2017,4.14,5.54,15.13,20.5,32.74,152.34,259.36,193.03,175.85,87.66,43.11,9.24,CUMBAM
2012,19.3,0.0,0.0,31.7,39.0,170.7,372.5,356.3,262.1,106.4,163.1,0.0,SATHUPALLY
2013,1.0,19.4,0.0,47.5,11.7,199.3,503.9,298.4,170.0,231.4,20.6,0.0,SATHUPALLY
2014,0.0,0.0,18.9,2.7,76.9,23.9,229.3,183.3,179.6,90.6,14.4,0.0,SATHUPALLY
2015,1.9,0.0,6.7,46.6,31.3,398.1,98.2,193.5,198.1,14.3,8.4,0.0,SATHUPALLY
2016,1.4,0.0,14.1,1.8,48.1,319.8,199.0,156.7,288.7,101.6,0.3,0.2,SATHUPALLY
2017,3.92,5.4,14.54,20.71,33.4,156.79,259.19,195.69,180.1,89.97,45.6,8.46,SATHUPALLY
2012,3.8,0.0,1.1,16.6,34.6,87.2,256.2,292.9,297.8,139.0,316.1,0.0,RAJAHAMANDRY
2013,5.0,16.1,0.0,52.6,25.7,93.1,163.4,72.3,143.9,495.8,49.5,2.8,RAJAHAMANDRY
2014,0.3,0.0,0.0,0.0,119.9,18.1,154.4,100.5,124.3,89.5,24.0,4.7,RAJAHAMANDRY
2015,0.1,0.0,0.4,37.1,23.8,323.0,138.6,195.7,168.4,85.6,124.9,1.5,RAJAHAMANDRY
2016,2.1,0.2,0.4,0.0,143.6,236.5,221.0,138.3,265.8,67.9,11.3,4.4,RAJAHAMANDRY
2017,4.33,5.23,13.46,20.73,36.2,155.87,251.68,189.84,178.68,97.75,48.31,8.1,RAJAHAMANDRY
2012,37.9,0.0,2.9,15.2,32.9,53.9,130.7,91.4,105.6,216.4,194.8,4.7,MARKAPUR
2013,0.0,48.5,0.0,21.9,22.3,72.6,128.8,156.2,144.6,346.8,43.7,0.8,MARKAPUR
2014,0.6,0.9,3.8,7.8,25.6,15.1,102.3,67.2,78.0,103.1,83.2,9.5,MARKAPUR
2015,0.6,0.0,3.1,27.3,14.5,79.3,53.6,129.3,122.8,57.9,119.6,26.1,MARKAPUR
2016,0.4,0.0,5.4,0.1,58.7,100.4,59.8,91.6,147.0,14.3,10.9,60.9,MARKAPUR
2017,4.06,5.59,12.67,20.62,35.71,149.15,240.31,183.91,173.5,99.31,49.69,9.60,MARKAPUR
2012,1.5,1.5,0.3,39.2,26.3,41.0,117.8,90.0,38.1,76.3,78.7,47.5,S MYDUKUR
2013,0.0,26.5,5.2,7.8,32.0,82.7,90.0,98.0,134.1,190.1,21.7,1.1,S MYDUKUR
2014,0.0,0.0,7.7,6.5,22.2,45.5,49.5,89.4,82.6,96.9,26.7,5.6,S MYDUKUR
2015,3.6,0.0,8.2,74.6,23.6,76.2,38.0,144.2,129.5,90.8,389.6,34.2,S MYDUKUR
2016,14.7,0.0,0.1,0.1,47.7,133.9,137.4,61.0,110.2,12.4,6.5,66.7,S MYDUKUR
2017,4.1,5.6,12.1,20.6,35.03,144.91,233.34,180.46,170.65,98.81,52.86,10.4,MYDUKUR
2012,4.9,0.0,0.1,11.7,3.0,89.6,364.0,267.8,197.8,68.6,39.0,0.0,KARIMNAGAR
2013,5.0,44.8,0.0,17.0,18.0,255.6,497.6,188.2,131.8,260.4,9.0,0.3,KARIMNAGAR
2014,0.0,2.4,66.7,9.1,66.1,84.9,169.3,195.1,122.5,12.1,4.1,0.8,KARIMNAGAR
2015,31.9,0.0,38.8,53.6,16.2,209.6,92.2,142.5,212.5,13.3,0.0,0.4,KARIMNAGAR
2016,0.3,0.0,27.5,13.0,58.7,182.6,321.2,159.9,352.4,89.8,0.0,0.0,KARIMNAGAR
2017,4.47,5.81,13.02,20.53,35.05,147.03,236.5,181.42,173.3,98.53,50.53,9.76,KARIMNAGAR
2012,12.6,0.0,0.0,5.9,17.1,161.3,335.4,293.4,243.3,96.2,66.7,0.0,WARANGAL
2013,4.0,23.9,0.0,19.9,4.3,161.3,483.0,272.0,137.3,231.7,25.5,3.6,WARANGAL
2014,0.5,0.0,42.1,5.0,105.6,53.9,172.1,201.7,118.3,29.5,11.0,0.0,WARANGAL
2015,6.2,0.0,29.6,72.5,16.1,375.4,102.5,175.4,179.3,22.2,0.8,0.1,WARANGAL
2016,3.2,0.0,20.2,0.3,45.4,213.4,280.0,125.0,396.1,72.4,0.6,0.0,WARANGAL
2017,5.2,5.8,13.36,20.55,35.26,149.13,236.63,181.6,174.9,98.5,50.3,9.2,WARANGAL
2012,66.0,0.0,2.2,6.0,21.7,109.8,159.7,147.8,172.9,133.9,192.7,0.0,GUNTUR
2013,0.4,80.6,0.3,19.3,32.4,115.4,151.2,177.4,163.6,358.8,59.6,2.5,GUNTUR
2014,0.0,2.4,0.3,0.3,65.2,19.1,130.5,116.9,144.7,149.6,51.7,0.7,GUNTUR
2015,1.3,0.0,0.7,18.8,17.3,183.3,93.5,144.9,142.4,31.8,78.6,0.9,GUNTUR
2016,0.2,0.0,0.0,0.2,112.8,199.6,87.5,194.1,289.9,71.5,1.9,7.6,GUNTUR
2017,4.94,6.43,12.8,20.05,36.24,148.24,231.2,180.55,175.34,100.94,50.16,8.94,GUNTUR
